CD_NOM,Nb Obs Total,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Façade Atlantique,Façade Manche,Façade Méditerranée,Grand Est,Hauts-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Île-de-France
80990,146812,52011,21627,6012,9014,7,13,12,7,11638,5184,4779,12229,7288,4488,3187,9316
81569,143760,42352,17393,4398,8692,1425,11,18,47,14371,8073,4831,13163,9875,4665,3905,10541
82562,24269,7487,334,313,3910,596,3,0,245,4,6,18,2499,3469,1903,3340,142
83159,32690,7480,3655,1465,5356,42,16,16,2,1740,1049,1566,1983,3213,1827,411,2869
83272,51219,16488,3429,3054,5746,236,5,28,77,1454,1861,2650,3585,2989,3025,2485,4107
84110,58594,9652,1319,3276,3604,285,57,38,100,1498,2188,1690,12200,9639,4096,4709,4243
85740,141583,26461,14172,7222,12833,1216,81,146,32,11467,8901,8224,13233,9136,6882,2910,18667
85903,146931,41984,13556,3870,10595,278,8,15,0,17220,6705,5692,13135,6229,3826,9557,14261
86305,160350,36111,22198,3520,11872,964,23,47,124,22033,6302,4211,10751,9725,3761,10552,18156
190057,159323,41735,20153,7046,13144,1109,92,208,270,12641,5503,6326,8613,10672,7696,14620,9495
86828,65399,17258,6457,2338,7152,109,33,98,8,4584,4390,2190,4430,3496,4043,2131,6682
190355,1602790,628144,212973,37593,88135,6963,296,503,1470,117554,34471,28734,86325,83607,33191,167569,75262
88477,9354,3457,461,198,374,124,19,35,28,517,447,320,581,1150,268,1117,258
89968,56038,28165,2181,27,1016,3,1,9,1,1084,772,149,224,1445,72,20000,889
90681,101394,21828,10490,4720,9120,376,30,102,271,9282,3335,3372,6519,7068,4338,7733,12810
91327,27594,12700,2539,6,1586,0,2,18,0,2363,671,304,1206,2984,170,2152,893
91382,111061,45474,13820,5917,5974,0,8,34,0,6914,3762,3771,9203,5970,2855,381,6978
91886,161244,37610,16402,847,10509,1598,17,54,61,19137,8235,3798,6882,10436,3273,18533,23852
92302,140896,32482,16492,3590,14344,452,71,147,118,11519,8254,3971,6625,9775,5358,10576,17122
92353,123741,29552,17045,1793,11461,252,39,98,98,15257,7838,2562,9090,4473,2540,3802,17841
92501,247750,70321,31149,2868,17253,40,9,23,5,27123,9610,4393,18547,14612,5862,22922,23013
92606,318565,96784,42248,9078,19461,172,16,33,4,36183,12249,8365,25387,16005,7932,17178,27470
92876,343098,88934,39293,11270,27847,2042,72,110,109,30857,15687,8847,25441,19139,12362,28975,32113
133531,20166,7397,1585,893,527,17,19,42,246,407,146,189,1223,3030,189,3852,404
93590,2573,416,23,21,27,34,1,0,73,38,20,10,108,849,33,840,80
94207,328543,101125,36149,10645,23011,3230,121,197,2049,24823,8321,7395,18366,21598,9166,32839,29508
611652,81629,21504,5072,3414,7078,860,37,55,226,3139,1465,3614,11072,7404,4751,6924,5014
95149,71653,16290,10205,1306,7667,52,24,54,42,7948,3559,1957,4074,4164,2935,4142,7234
96180,95997,22915,10007,4875,7713,83,39,83,11,9337,9661,3666,3324,3290,4868,4353,11772
96271,59492,13246,7602,3278,5957,70,16,19,44,3314,3847,2202,3742,2662,3213,1011,9269
96546,26942,9527,1372,176,713,126,9,8,27,1625,926,628,3415,2904,503,3352,1631
96749,76274,17359,7126,1273,9470,69,18,61,105,5708,5276,1727,4053,3998,2883,4143,13005
96895,68889,22223,5765,1311,7548,699,48,107,290,3671,1566,570,3532,5725,1968,7692,6174
97084,61487,23882,6240,3877,4855,68,22,48,22,2819,2058,2243,4758,3158,3136,1238,3063
97537,66744,13405,6694,2329,4911,583,6,43,277,5924,5730,1917,3244,7263,2068,7604,4746
97616,6182,1648,1180,29,346,25,1,1,4,807,70,90,585,610,184,401,201
59053,4231,851,120,46,583,47,1,8,1,380,65,1229,165,245,20,206,264
98653,34004,5186,720,704,821,1020,10,2,316,1208,856,538,3512,6485,1193,8675,2758
99373,175734,45834,15477,8865,15635,1050,70,125,319,13225,14571,7113,13444,12539,6533,9648,11286
100045,60391,19456,10487,1333,6362,465,13,27,54,4736,1301,1047,2677,3607,2563,2703,3560
100052,95730,19153,11470,5918,10989,449,44,78,72,6486,6432,3861,6760,5935,4913,2197,10973
100142,219985,60824,24064,10968,16661,3045,65,102,10,19763,11297,7362,15151,12227,8862,8657,20927
100225,185278,51634,23717,5239,15745,187,13,36,3,18490,10187,4889,11039,7573,5358,5044,26124
100387,38522,10578,6324,3887,1975,100,5,14,1,3016,1644,2257,2204,1326,2207,148,2836
100787,381371,92892,44402,6891,33193,3054,126,147,484,39166,14660,7484,38258,27846,8156,24577,40035
101210,48262,5627,2066,2389,6140,163,53,113,105,1513,1529,2140,4659,4139,3272,2562,11792
102901,62748,21593,6042,4642,5843,49,13,7,3,2461,1717,2895,8402,2493,2653,201,3734
103287,29076,4978,7501,483,1991,2,1,0,0,5713,1832,486,1124,1433,924,362,2246
103316,216657,60658,24864,5519,18780,1521,38,64,260,17392,9176,5192,12565,13697,6742,16531,23658
103375,133358,39419,12966,7123,14342,342,67,136,120,4708,3603,5641,16463,7531,6768,1893,12236
103734,19695,1807,1382,2064,2843,34,93,73,34,282,274,1712,2294,1803,1757,993,2250
104076,62726,18089,7615,602,4964,120,2,2,0,6639,2270,887,3914,3964,1944,4584,7130
193689,586889,183205,63401,29441,48903,3190,405,465,1516,31447,19331,19272,55713,33944,21632,35760,39264
104502,19150,2716,1520,2129,2972,64,3,5,21,922,969,895,1789,1259,1565,342,1979
104770,3654,727,156,23,52,25,1,1,8,142,14,5,503,872,162,914,49
104771,4246,564,254,225,182,17,3,0,1,439,402,224,362,469,236,243,625
104775,94651,23439,9112,1512,8194,116,15,42,127,7519,5344,1778,3967,7550,3291,11092,11553
