marathon,age,ageRand,gender,clocktime,chiptime,split_10k,split_half,split_30k,split_40k
NYC_2011,30.0,30.78,M,125.1,125.1,30.4,63.3,89.78,118.73
NYC_2011,27.0,27.15,M,126.4667,126.4667,30.38,63.28,89.77,119.77
NYC_2011,24.0,24.56,M,127.2333,127.2333,30.4,63.3,89.77,120.03
NYC_2011,27.0,27.09,M,128.0,128.0,30.42,63.3,89.78,120.93
NYC_2011,39.0,39.63,M,128.4333,128.4333,30.42,63.32,89.77,121.23
NYC_2011,36.0,36.07,M,129.2167,129.2167,30.4,63.3,89.78,122.13
NYC_2011,35.0,35.91,M,130.5667,130.5667,30.43,64.3,92.02,123.82
NYC_2011,22.0,22.73,M,130.9667,130.9667,30.4,63.28,89.75,122.4
NYC_2011,37.0,37.6,M,132.4333,132.4333,30.48,64.7,93.02,125.38
NYC_2011,35.0,35.87,M,133.7667,133.7667,31.08,65.65,93.48,126.4
NYC_2011,28.0,28.64,M,134.1667,134.1667,30.4,63.3,90.95,125.65
NYC_2011,32.0,32.06,M,136.3333,136.3333,30.45,64.68,93.02,127.72
NYC_2011,26.0,26.31,M,136.7333,136.7333,30.73,65.38,93.55,127.7
NYC_2011,27.0,27.87,M,139.4,139.4,31.07,66.33,95.47,131.42
NYC_2011,30.0,30.99,M,139.65,139.6,31.87,67.48,96.8,131.45
NYC_2011,23.0,23.34,M,140.3667,140.3667,30.42,64.32,93.03,130.68
NYC_2011,27.0,27.98,M,140.6833,140.6833,30.6,65.67,95.7,132.43
NYC_2011,29.0,29.16,M,142.8,142.8,33.65,71.08,100.97,135.38
NYC_2011,27.0,27.17,F,143.25,143.25,32.85,70.22,100.75,135.78
NYC_2011,24.0,24.49,F,143.3167,143.3167,32.85,70.22,100.75,135.77
NYC_2011,29.0,29.21,F,143.6333,143.6333,31.88,67.93,98.95,135.75
NYC_2011,25.0,25.73,M,143.7167,143.7167,31.55,67.38,97.6,135.35
NYC_2011,41.0,41.59,M,144.8,144.8,33.67,71.08,100.97,136.7
NYC_2011,26.0,26.57,M,145.3833,145.3833,33.65,71.08,100.87,136.98
NYC_2011,27.0,27.67,M,145.5833,145.55,35.22,73.43,103.45,138.05
NYC_2011,29.0,29.11,F,145.65,145.65,34.08,71.78,102.32,137.83
NYC_2011,29.0,29.03,F,145.7667,145.7667,33.72,71.7,102.32,137.98
NYC_2011,30.0,30.82,F,145.95,145.95,32.85,70.22,100.75,137.83
NYC_2011,38.0,38.77,M,147.0833,147.0833,33.82,71.9,103.07,139.25
NYC_2011,27.0,27.33,F,147.1,147.1,33.37,71.25,102.08,138.32
NYC_2011,40.0,40.25,M,147.1,147.1,33.67,71.08,101.52,138.9
NYC_2011,39.0,39.97,M,147.3667,147.3167,33.6,71.45,103.28,139.78
NYC_2011,40.0,40.12,M,147.4667,147.4667,33.97,72.47,103.78,0.0
NYC_2011,33.0,33.06,M,148.3333,148.1167,34.15,72.57,103.82,140.13
NYC_2011,34.0,34.28,M,148.3167,148.2,34.23,72.65,104.12,140.58
NYC_2011,30.0,30.31,F,148.4833,148.4833,34.42,73.15,105.35,140.93
NYC_2011,38.0,38.61,F,148.7,148.7,34.58,73.95,105.35,141.17
NYC_2011,28.0,28.72,M,148.7833,148.7333,35.2,74.13,105.65,141.4
NYC_2011,37.0,37.25,M,148.9,148.9,34.9,73.6,105.13,141.18
NYC_2011,34.0,34.67,F,149.0333,149.0333,34.4,73.15,105.35,141.3
NYC_2011,36.0,36.09,M,149.1833,149.1667,32.98,70.3,102.07,140.35
NYC_2011,35.0,35.78,M,149.2,149.1833,33.8,72.48,104.02,140.93
NYC_2011,41.0,41.42,M,149.6667,149.6,34.2,72.63,103.97,141.18
NYC_2011,30.0,30.64,M,149.7167,149.6667,35.0,73.92,105.08,141.1
NYC_2011,32.0,32.67,M,149.7667,149.7667,34.88,73.53,105.22,141.88
NYC_2011,27.0,27.79,M,149.8833,149.8667,35.27,74.2,105.92,142.28
NYC_2011,34.0,34.13,M,149.9833,149.9667,34.87,73.57,105.3,141.92
NYC_2011,26.0,26.39,M,150.75,150.5,33.42,71.73,104.1,142.27
NYC_2011,37.0,37.44,M,150.7167,150.7,34.17,73.12,105.07,142.23
NYC_2011,27.0,27.82,M,150.7667,150.7333,35.22,74.22,105.7,142.47
NYC_2011,34.0,34.45,M,150.9167,150.8833,35.2,74.18,105.87,142.9
NYC_2011,40.0,40.78,M,150.9833,150.95,33.78,71.8,103.38,142.47
NYC_2011,26.0,26.23,M,150.9667,150.9667,33.78,71.8,103.32,141.3
NYC_2011,25.0,25.18,M,151.1833,151.1833,34.18,72.7,104.13,142.42
NYC_2011,31.0,31.55,M,151.3,151.2667,34.87,73.98,105.85,142.92
NYC_2011,29.0,29.74,M,151.3,151.2833,34.9,74.1,106.12,143.42
NYC_2011,25.0,25.31,M,151.3333,151.3167,35.62,73.45,104.98,142.98
NYC_2011,41.0,41.66,M,151.3667,151.3667,34.68,73.53,105.28,143.18
NYC_2011,41.0,41.47,M,151.45,151.4333,33.82,72.47,104.3,142.53
NYC_2011,32.0,32.91,M,151.55,151.4833,33.9,72.43,105.28,143.37
NYC_2011,25.0,25.67,F,151.6667,151.6667,35.5,74.92,106.63,143.77
NYC_2011,30.0,30.4,M,151.7833,151.7833,34.67,73.85,105.77,143.15
NYC_2011,37.0,37.16,M,151.85,151.85,34.12,72.7,104.23,143.08
NYC_2011,23.0,23.23,F,151.8667,151.8667,35.5,74.92,106.27,142.93
NYC_2011,33.0,33.25,M,152.2,151.95,34.48,73.12,105.1,143.4
NYC_2011,40.0,40.45,M,152.2667,152.2333,34.88,74.08,106.22,143.87
NYC_2011,40.0,40.31,M,152.2667,152.2333,34.88,74.08,106.22,143.87
NYC_2011,40.0,40.38,M,152.4833,152.3333,34.62,73.38,105.65,143.82
NYC_2011,40.0,40.54,M,152.4833,152.3333,34.62,73.38,105.65,143.82
NYC_2011,29.0,29.75,M,152.4333,152.4,34.87,73.58,105.2,143.73
