CODGEO,DCLT,NBFLUX_C09_ACTOCC15P,direct_distance
01004,01004,2489,0
01004,01053,228,29
01004,01202,154,6
01004,01390,556,15
01004,69383,182,0
01005,01005,138,0
01007,01004,212,5
01007,01007,216,0
01014,01014,655,0
01014,01031,139,7
01014,01283,519,5
01021,01021,143,0
01024,01024,204,0
01024,01053,640,11
01024,01451,129,6
01025,01025,252,0
01025,71270,400,9
01027,01027,983,0
01029,01029,130,0
01030,69264,128,3
01031,01031,499,0
01031,01283,678,2
01032,01032,536,0
01033,SUC1L,547,0
01033,SUC1U,126,0
01033,01033,2178,0
01033,01081,156,10
01033,01091,163,5
01033,01354,122,21
01033,01419,121,19
01034,01034,2233,0
01034,01138,138,12
01038,01053,181,13
01043,01043,352,0
01043,01249,116,4
01043,69266,156,13
01043,69383,132,0
01043,69387,120,0
01049,01043,119,3
01049,01049,305,0
01053,01004,155,29
01053,01024,169,11
01053,01053,10726,0
01053,01072,157,8
01053,01289,512,4
01053,01344,194,3
01053,01369,167,4
01053,01426,120,13
01053,01451,864,6
01061,01034,182,5
01064,01064,114,0
01065,01053,392,7
01069,01053,351,9
01069,01069,100,0
01071,SUC1L,635,0
01071,01071,263,0
01071,01143,104,7
01071,01160,118,8
01071,01173,122,2
01072,01053,573,8
01072,01072,270,0
01074,01074,312,0
01075,01075,129,0
01075,69264,113,8
01078,SUC1L,252,0
01079,01079,164,0
01080,01185,113,4
01081,01081,172,0
01089,01004,224,4
01089,01089,160,0
01091,SUC1L,218,0
01091,01033,349,5
01091,01091,309,0
01093,01053,209,23
01093,01093,864,0
01095,01053,102,17
01096,01053,126,13
01098,01034,106,5
01099,01099,179,0
01102,71270,107,12
01103,SUC1L,224,0
01105,01105,152,0
01108,01053,104,22
01108,01108,132,0
01109,SUC1L,336,0
01109,01109,132,0
01113,01113,108,0
01115,01053,182,14
01116,01034,124,7
01118,01118,119,0
01122,01185,227,3
01123,71270,162,7
01130,01053,266,12
01134,01134,160,0
01134,71270,264,6
01135,SUC1L,308,0
01135,SUC1U,112,0
01135,01135,146,0
01138,01034,100,12
01138,01138,579,0
01140,01053,123,13
01142,01043,115,5
01142,01142,288,0
01142,01262,157,1
01142,69383,107,0
01143,SUC1L,1010,0
01143,SUC1U,109,0
01143,SU95M,126,0
01143,SU96F,100,0
01143,SU983,235,0
01143,01143,1108,0
01143,01160,130,12
01143,01173,109,7
01145,01053,113,15
01145,01145,113,0
01148,01148,161,0
01148,01283,399,7
01149,01004,102,4
01152,01283,112,8
01153,SUC1L,320,0
01154,01053,135,15
01157,01157,116,0
01157,69264,197,5
01158,SUC1L,146,0
01159,01159,372,0
01159,71270,488,6
01160,SUC1L,1653,0
01160,SUC1U,191,0
01160,01160,1132,0
01163,01053,228,19
01163,01163,193,0
01165,01165,100,0
01166,01166,141,0
01166,69264,202,4
01170,01192,103,3
01171,01283,198,3
01173,SUC1L,1312,0
01173,SUC1U,300,0
01173,SU983,204,0
01173,01143,236,7
01173,01160,224,9
01173,01173,1380,0
01173,01354,168,10
01173,01399,140,4
01173,01419,124,12
01179,01179,156,0
01179,71270,218,6
01180,SUC1L,151,0
01181,01181,140,0
01181,01283,216,4
01183,01183,106,0
01184,01053,106,15
01185,01185,1186,0
01189,01033,144,6
01192,01192,386,0
01192,01283,205,9
01194,01194,516,0
01194,01427,135,5
01194,69264,516,3
01195,01053,299,7
01195,01195,100,0
01196,01053,182,20
01199,01004,177,10
01199,01199,197,0
01202,01004,289,6
01202,01202,757,0
01202,01390,547,9
01203,01203,116,0
01203,71270,124,8
01205,01033,151,2
01211,01053,266,10
01216,01216,115,0
01224,01224,231,0
01228,01228,124,0
01229,01053,133,15
01231,01231,177,0
01231,71270,217,8
01232,01053,403,15
01232,01232,240,0
01236,01053,128,19
01237,01237,178,0
01237,01283,273,6
01238,01238,139,0
01239,01034,121,6
01240,01283,112,8
01241,01053,236,11
01241,01241,132,0
01243,69264,100,7
01244,01004,149,14
01244,01244,771,0
01244,01390,321,11
01244,69266,117,29
01244,69383,165,0
01245,01053,138,15
01246,01053,181,14
01246,01246,224,0
01248,01248,157,0
01249,01043,203,4
01249,01249,1060,0
01249,01376,127,2
