Date,CO2 en ppm,,,
0,277.45,,,
1,277.14,,,
2,277.16,,,
3,277.16,,,
4,277.16,,,
5,277.17,,,
6,277.17,,,
7,277.17,,,
8,277.18,,,
9,277.18,,,
10,277.18,,,
11,277.19,,,
12,277.2,,,
13,277.2,,,
14,277.2,,,
15,277.21,,,
16,277.22,,,
17,277.22,,,
18,277.23,,,
19,277.23,,,
20,277.23,,,
21,277.23,,,
22,277.24,,,
23,277.25,,,
24,277.25,,,
25,277.26,,,
26,277.26,,,
27,277.28,,,
28,277.28,,,
29,277.28,,,
30,277.28,,,
31,277.29,,,
32,277.29,,,
33,277.29,,,
34,277.3,,,
35,277.3,,,
36,277.31,,,
37,277.31,,,
38,277.32,,,
39,277.32,,,
40,277.33,,,
41,277.33,,,
42,277.33,,,
43,277.34,,,
44,277.34,,,
45,277.34,,,
46,277.35,,,
47,277.35,,,
48,277.35,,,
49,277.36,,,
50,277.36,,,
51,277.36,,,
52,277.37,,,
53,277.37,,,
54,277.38,,,
55,277.38,,,
56,277.39,,,
57,277.39,,,
58,277.39,,,
59,277.4,,,
60,277.4,,,
61,277.4,,,
62,277.41,,,
63,277.41,,,
64,277.42,,,
65,277.42,,,
66,277.43,,,
67,277.43,,,
68,277.43,,,
69,277.44,,,
70,277.44,,,
71,277.44,,,
72,277.44,,,
73,277.45,,,
74,277.45,,,
75,277.46,,,
76,277.46,,,
77,277.46,,,
78,277.46,,,
79,277.47,,,
80,277.48,,,
81,277.48,,,
82,277.49,,,
83,277.49,,,
84,277.5,,,
85,277.51,,,
86,277.51,,,
87,277.52,,,
88,277.52,,,
89,277.53,,,
90,277.54,,,
91,277.54,,,
92,277.55,,,
93,277.56,,,
94,277.57,,,
95,277.57,,,
96,277.58,,,
97,277.58,,,
98,277.6,,,
99,277.61,,,
100,277.62,,,
101,277.62,,,
102,277.63,,,
103,277.63,,,
104,277.64,,,
105,277.65,,,
106,277.64,,,
107,277.65,,,
108,277.66,,,
109,277.66,,,
110,277.66,,,
111,277.67,,,
112,277.68,,,
113,277.69,,,
114,277.7,,,
115,277.71,,,
116,277.72,,,
117,277.72,,,
118,277.72,,,
119,277.73,,,
120,277.73,,,
121,277.74,,,
122,277.74,,,
123,277.75,,,
124,277.75,,,
125,277.76,,,
126,277.76,,,
127,277.77,,,
128,277.77,,,
129,277.77,,,
130,277.77,,,
131,277.78,,,
132,277.79,,,
133,277.79,,,
134,277.79,,,
135,277.8,,,
136,277.81,,,
137,277.81,,,
138,277.82,,,
139,277.83,,,
140,277.83,,,
141,277.84,,,
142,277.85,,,
143,277.86,,,
144,277.86,,,
145,277.87,,,
146,277.88,,,
147,277.88,,,
148,277.89,,,
149,277.9,,,
150,277.91,,,
151,277.92,,,
152,277.92,,,
153,277.93,,,
154,277.95,,,
155,277.96,,,
156,277.98,,,
157,277.98,,,
158,278,,,
159,278.01,,,
160,278.03,,,
161,278.04,,,
162,278.06,,,
163,278.07,,,
164,278.09,,,
165,278.11,,,
166,278.12,,,
167,278.14,,,
168,278.16,,,
169,278.17,,,
170,278.19,,,
171,278.21,,,
172,278.23,,,
173,278.26,,,
174,278.28,,,
175,278.3,,,
176,278.32,,,
177,278.34,,,
178,278.36,,,
179,278.38,,,
180,278.4,,,
181,278.42,,,
182,278.43,,,
183,278.46,,,
184,278.48,,,
185,278.51,,,
186,278.52,,,
187,278.54,,,
188,278.56,,,
189,278.58,,,
190,278.6,,,
191,278.64,,,
192,278.66,,,
193,278.68,,,
194,278.71,,,
195,278.74,,,
196,278.77,,,
197,278.79,,,
198,278.82,,,
199,278.85,,,
200,278.88,,,
201,278.9,,,
202,278.94,,,
203,278.96,,,
204,278.99,,,
205,279.02,,,
206,279.05,,,
207,279.09,,,
208,279.11,,,
209,279.14,,,
210,279.16,,,
211,279.19,,,
212,279.21,,,
213,279.24,,,
214,279.26,,,
215,279.28,,,
216,279.31,,,
217,279.33,,,
218,279.35,,,
219,279.38,,,
220,279.4,,,
221,279.43,,,
222,279.45,,,
223,279.47,,,
224,279.5,,,
225,279.52,,,
226,279.53,,,
227,279.55,,,
228,279.58,,,
229,279.6,,,
230,279.63,,,
231,279.65,,,
232,279.67,,,
233,279.69,,,
234,279.72,,,
235,279.74,,,
236,279.75,,,
237,279.77,,,
238,279.79,,,
239,279.81,,,
240,279.83,,,
241,279.84,,,
242,279.85,,,
243,279.86,,,
244,279.86,,,
245,279.88,,,
246,279.89,,,
247,279.91,,,
248,279.92,,,
249,279.93,,,
250,279.95,,,
251,279.97,,,
252,279.99,,,
253,279.99,,,
254,280,,,
255,280.01,,,
256,280.01,,,
257,280.03,,,
258,280.04,,,
259,280.05,,,
260,280.06,,,
261,280.06,,,
262,280.07,,,
263,280.07,,,
264,280.08,,,
265,280.09,,,
266,280.1,,,
267,280.11,,,
268,280.12,,,
269,280.12,,,
270,280.14,,,
271,280.15,,,
272,280.16,,,
273,280.17,,,
274,280.18,,,
275,280.19,,,
276,280.2,,,
277,280.21,,,
278,280.2,,,
279,280.22,,,
280,280.21,,,
281,280.22,,,
282,280.23,,,
283,280.23,,,
284,280.23,,,
285,280.24,,,
286,280.25,,,
287,280.24,,,
288,280.24,,,
289,280.24,,,
290,280.24,,,
291,280.24,,,
292,280.24,,,
293,280.23,,,
294,280.24,,,
295,280.24,,,
296,280.24,,,
297,280.23,,,
